,technology,node,time_storage_level,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
77,Aluminium_storage,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
78,Aluminium_storage,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
79,Aluminium_storage,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
80,Aluminium_storage,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
81,Aluminium_storage,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
82,Aluminium_storage,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
83,Aluminium_storage,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
84,Aluminium_storage,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
85,Aluminium_storage,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
86,Aluminium_storage,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
87,Aluminium_storage,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
88,Aluminium_storage,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
89,Aluminium_storage,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
90,Aluminium_storage,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
91,Aluminium_storage,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
92,Aluminium_storage,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
93,Aluminium_storage,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
94,Aluminium_storage,ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
95,Aluminium_storage,ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
96,Aluminium_storage,ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
97,Aluminium_storage,ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
98,Aluminium_storage,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
99,Aluminium_storage,JPN,1,0.0,0.0,0.0,0.0,0.0,0.0
100,Aluminium_storage,JPN,2,0.0,0.0,0.0,0.0,0.0,0.0
101,Aluminium_storage,JPN,3,0.0,0.0,0.0,0.0,0.0,0.0
102,Aluminium_storage,JPN,4,0.0,0.0,0.0,0.0,0.0,0.0
103,Aluminium_storage,JPN,5,0.0,0.0,0.0,0.0,0.0,0.0
104,Aluminium_storage,JPN,6,0.0,0.0,0.0,0.0,0.0,0.0
105,Aluminium_storage,JPN,7,0.0,0.0,0.0,0.0,0.0,0.0
106,Aluminium_storage,JPN,8,0.0,0.0,0.0,0.0,0.0,0.0
107,Aluminium_storage,JPN,9,0.0,0.0,0.0,0.0,0.0,0.0
108,Aluminium_storage,JPN,10,0.0,0.0,0.0,0.0,0.0,0.0
109,Aluminium_storage,JPN,11,0.0,0.0,0.0,0.0,0.0,0.0
110,Aluminium_storage,JPN,12,0.0,0.0,0.0,0.0,0.0,0.0
111,Aluminium_storage,JPN,13,0.0,0.0,0.0,0.0,0.0,0.0
112,Aluminium_storage,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
113,Aluminium_storage,KOR,1,0.0,0.0,0.0,0.0,0.0,0.0
114,Aluminium_storage,KOR,2,0.0,0.0,0.0,0.0,0.0,0.0
115,Aluminium_storage,KOR,3,0.0,0.0,0.0,0.0,0.0,0.0
116,Aluminium_storage,KOR,4,0.0,0.0,0.0,0.0,0.0,0.0
117,Aluminium_storage,KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
118,Aluminium_storage,KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
119,Aluminium_storage,KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
120,Aluminium_storage,KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
121,Aluminium_storage,KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
122,Aluminium_storage,KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
123,Aluminium_storage,KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
124,Aluminium_storage,KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
125,Aluminium_storage,KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
126,Aluminium_storage,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
127,Aluminium_storage,ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
128,Aluminium_storage,ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
129,Aluminium_storage,ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
130,Aluminium_storage,ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
131,Aluminium_storage,ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
132,Aluminium_storage,ROE,6,0.0,0.0,0.0,0.0,0.0,0.0
133,Aluminium_storage,ROE,7,0.0,0.0,0.0,0.0,0.0,0.0
134,Aluminium_storage,ROE,8,0.0,0.0,0.0,0.0,0.0,0.0
135,Aluminium_storage,ROE,9,0.0,0.0,0.0,0.0,0.0,0.0
136,Aluminium_storage,ROE,10,0.0,0.0,0.0,0.0,0.0,0.0
137,Aluminium_storage,ROE,11,0.0,0.0,0.0,0.0,0.0,0.0
138,Aluminium_storage,ROE,12,0.0,0.0,0.0,0.0,0.0,0.0
139,Aluminium_storage,ROE,13,0.0,0.0,0.0,0.0,0.0,0.0
140,Aluminium_storage,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
141,Aluminium_storage,ROW,1,0.0,0.0,0.0,0.0,0.0,0.0
142,Aluminium_storage,ROW,2,0.0,0.0,0.0,0.0,0.0,0.0
143,Aluminium_storage,ROW,3,0.0,0.0,0.0,0.0,0.0,0.0
144,Aluminium_storage,ROW,4,0.0,0.0,0.0,0.0,0.0,0.0
145,Aluminium_storage,ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
146,Aluminium_storage,ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
147,Aluminium_storage,ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
