,technology,location,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
282,Bauxite_transport,AUS-JPN,0.0,0.0,0.0,0.0,0.0,0.0
283,Bauxite_transport,AUS-KOR,0.0,0.0,0.0,0.0,0.0,0.0
284,Bauxite_transport,AUS-ROE,0.0,0.0,0.0,0.0,0.0,0.0
285,Bauxite_transport,AUS-ROW,0.0,0.0,0.0,0.0,0.0,0.0
286,Bauxite_transport,AUS-USA,0.0,0.0,0.0,0.0,0.0,0.0
287,Bauxite_transport,AUT-AUS,0.0,0.0,0.0,0.0,0.0,0.0
288,Bauxite_transport,AUT-BRA,0.0,0.0,0.0,0.0,0.0,0.0
289,Bauxite_transport,AUT-CHN,0.0,0.0,0.0,0.0,0.0,0.0
290,Bauxite_transport,AUT-CZE,0.0,0.0,0.0,0.0,0.0,0.0
291,Bauxite_transport,AUT-DEU,0.0,0.0,0.0,0.0,0.0,0.0
292,Bauxite_transport,AUT-ITA,0.0,0.0,0.0,0.0,0.0,0.0
293,Bauxite_transport,AUT-JPN,0.0,0.0,0.0,0.0,0.0,0.0
294,Bauxite_transport,AUT-KOR,0.0,0.0,0.0,0.0,0.0,0.0
295,Bauxite_transport,AUT-ROE,0.0,0.0,0.0,0.0,0.0,0.0
296,Bauxite_transport,AUT-ROW,0.0,0.0,0.0,0.0,0.0,0.0
297,Bauxite_transport,AUT-USA,0.0,0.0,0.0,0.0,0.0,0.0
298,Bauxite_transport,BRA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
299,Bauxite_transport,BRA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
300,Bauxite_transport,BRA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
301,Bauxite_transport,BRA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
302,Bauxite_transport,BRA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
303,Bauxite_transport,BRA-ITA,0.0,0.0,0.0,0.0,0.0,0.0
304,Bauxite_transport,BRA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
305,Bauxite_transport,BRA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
306,Bauxite_transport,BRA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
307,Bauxite_transport,BRA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
308,Bauxite_transport,BRA-USA,0.0,0.0,0.0,0.0,0.0,0.0
309,Bauxite_transport,CHN-AUS,0.0,0.0,0.0,0.0,0.0,0.0
310,Bauxite_transport,CHN-AUT,0.0,0.0,0.0,0.0,0.0,0.0
311,Bauxite_transport,CHN-BRA,0.0,0.0,0.0,0.0,0.0,0.0
312,Bauxite_transport,CHN-CZE,0.0,0.0,0.0,0.0,0.0,0.0
313,Bauxite_transport,CHN-DEU,0.0,0.0,0.0,0.0,0.0,0.0
314,Bauxite_transport,CHN-ITA,0.0,0.0,0.0,0.0,0.0,0.0
315,Bauxite_transport,CHN-JPN,0.0,0.0,0.0,0.0,0.0,0.0
316,Bauxite_transport,CHN-KOR,0.0,0.0,0.0,0.0,0.0,0.0
317,Bauxite_transport,CHN-ROE,0.0,0.0,0.0,0.0,0.0,0.0
318,Bauxite_transport,CHN-ROW,0.0,0.0,0.0,0.0,0.0,0.0
319,Bauxite_transport,CHN-USA,0.0,0.0,0.0,0.0,0.0,0.0
320,Bauxite_transport,CZE-AUS,0.0,0.0,0.0,0.0,0.0,0.0
321,Bauxite_transport,CZE-AUT,0.0,0.0,0.0,0.0,0.0,0.0
322,Bauxite_transport,CZE-BRA,0.0,0.0,0.0,0.0,0.0,0.0
323,Bauxite_transport,CZE-CHN,0.0,0.0,0.0,0.0,0.0,0.0
324,Bauxite_transport,CZE-DEU,0.0,0.0,0.0,0.0,0.0,0.0
325,Bauxite_transport,CZE-ITA,0.0,0.0,0.0,0.0,0.0,0.0
326,Bauxite_transport,CZE-JPN,0.0,0.0,0.0,0.0,0.0,0.0
327,Bauxite_transport,CZE-KOR,0.0,0.0,0.0,0.0,0.0,0.0
328,Bauxite_transport,CZE-ROE,0.0,0.0,0.0,0.0,0.0,0.0
329,Bauxite_transport,CZE-ROW,0.0,0.0,0.0,0.0,0.0,0.0
330,Bauxite_transport,CZE-USA,0.0,0.0,0.0,0.0,0.0,0.0
331,Bauxite_transport,DEU-AUS,0.0,0.0,0.0,0.0,0.0,0.0
332,Bauxite_transport,DEU-AUT,0.0,0.0,0.0,0.0,0.0,0.0
333,Bauxite_transport,DEU-BRA,0.0,0.0,0.0,0.0,0.0,0.0
334,Bauxite_transport,DEU-CHN,0.0,0.0,0.0,0.0,0.0,0.0
