,technology,edge,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
184,Aluminium_transport,AUT-CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
185,Aluminium_transport,AUT-CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
186,Aluminium_transport,AUT-CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
187,Aluminium_transport,AUT-CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
188,Aluminium_transport,AUT-CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
189,Aluminium_transport,AUT-CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
190,Aluminium_transport,AUT-CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
191,Aluminium_transport,AUT-CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
192,Aluminium_transport,AUT-CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
193,Aluminium_transport,AUT-CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
194,Aluminium_transport,AUT-CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
195,Aluminium_transport,AUT-CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
196,Aluminium_transport,AUT-CZE,0,18.024,18.024,18.024,18.024,18.024,18.024
197,Aluminium_transport,AUT-CZE,1,18.024,18.024,18.024,18.024,18.024,18.024
198,Aluminium_transport,AUT-CZE,2,18.024,18.024,18.024,18.024,18.024,18.024
199,Aluminium_transport,AUT-CZE,3,18.024,18.024,18.024,18.024,18.024,18.024
200,Aluminium_transport,AUT-CZE,4,18.024,18.024,18.024,18.024,15.6,18.024
201,Aluminium_transport,AUT-CZE,5,18.024,18.024,18.024,18.024,15.6,18.024
202,Aluminium_transport,AUT-CZE,6,18.024,18.024,18.024,18.024,15.6,18.024
203,Aluminium_transport,AUT-CZE,7,16.697094320000005,16.697094320000005,16.697094320000005,16.697094320000005,15.6,18.024
204,Aluminium_transport,AUT-CZE,8,13.58,13.58,13.58,13.58,12.331437999999975,13.58
205,Aluminium_transport,AUT-CZE,9,11.56,11.56,11.56,11.56,11.56,11.56
206,Aluminium_transport,AUT-CZE,10,11.56,11.56,11.56,11.56,11.56,11.56
207,Aluminium_transport,AUT-CZE,11,8.328000000000001,10.562079599999946,9.175895,10.562079599999963,11.542575479999988,7.52
208,Aluminium_transport,AUT-CZE,12,7.52,7.52,7.52,7.52,7.52,7.52
209,Aluminium_transport,AUT-CZE,13,7.116,3.4800000000000004,3.4800000000000004,3.4800000000000004,3.4800000000000004,3.4800000000000004
210,Aluminium_transport,AUT-DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
211,Aluminium_transport,AUT-DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
212,Aluminium_transport,AUT-DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
213,Aluminium_transport,AUT-DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
214,Aluminium_transport,AUT-DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
215,Aluminium_transport,AUT-DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
216,Aluminium_transport,AUT-DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
217,Aluminium_transport,AUT-DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
218,Aluminium_transport,AUT-DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
219,Aluminium_transport,AUT-DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
220,Aluminium_transport,AUT-DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
221,Aluminium_transport,AUT-DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
222,Aluminium_transport,AUT-DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
223,Aluminium_transport,AUT-DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
224,Aluminium_transport,AUT-ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
