,carrier,node,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
1722,Nickel,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
1723,Nickel,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
1724,Nickel,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
1725,Nickel,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
1726,Nickel,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
1727,Nickel,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
1728,Nickel,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
1729,Nickel,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
1730,Nickel,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
1731,Nickel,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
1732,Nickel,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
1733,Nickel,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
1734,Nickel,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
1735,Nickel,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
1736,Nickel,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
1737,Nickel,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
1738,Nickel,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
1739,Nickel,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
1740,Nickel,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
1741,Nickel,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
1742,Nickel,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
1743,Nickel,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
1744,Nickel,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
1745,Nickel,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
1746,Nickel,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
1747,Nickel,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
1748,Nickel,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
1749,Nickel,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
1750,Nickel,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
1751,Nickel,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
1752,Nickel,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
1753,Nickel,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
1754,Nickel,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
1755,Nickel,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
1756,Nickel,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
1757,Nickel,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
1758,Nickel,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
1759,Nickel,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
1760,Nickel,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
1761,Nickel,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
1762,Nickel,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
1763,Nickel,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
1764,Nickel,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
1765,Nickel,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
1766,Nickel,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
1767,Nickel,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
1768,Nickel,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
1769,Nickel,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
1770,Nickel,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
1771,Nickel,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
1772,Nickel,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
1773,Nickel,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
1774,Nickel,ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
1775,Nickel,ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
1776,Nickel,ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
1777,Nickel,ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
1778,Nickel,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
1779,Nickel,JPN,1,0.0,0.0,0.0,0.0,0.0,0.0
1780,Nickel,JPN,2,0.0,0.0,0.0,0.0,0.0,0.0
1781,Nickel,JPN,3,0.0,0.0,0.0,0.0,0.0,0.0
1782,Nickel,JPN,4,0.0,0.0,0.0,0.0,0.0,0.0
1783,Nickel,JPN,5,0.0,0.0,0.0,0.0,0.0,0.0
1784,Nickel,JPN,6,0.0,0.0,0.0,0.0,0.0,0.0
1785,Nickel,JPN,7,0.0,0.0,0.0,0.0,0.0,0.0
1786,Nickel,JPN,8,0.0,0.0,0.0,0.0,0.0,0.0
1787,Nickel,JPN,9,0.0,0.0,0.0,0.0,0.0,0.0
1788,Nickel,JPN,10,0.0,0.0,0.0,0.0,0.0,0.0
1789,Nickel,JPN,11,0.0,0.0,0.0,0.0,0.0,0.0
1790,Nickel,JPN,12,0.0,0.0,0.0,0.0,0.0,0.0
1791,Nickel,JPN,13,0.0,0.0,0.0,0.0,0.0,0.0
1792,Nickel,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
1793,Nickel,KOR,1,0.0,0.0,0.0,0.0,0.0,0.0
1794,Nickel,KOR,2,0.0,0.0,0.0,0.0,0.0,0.0
1795,Nickel,KOR,3,0.0,0.0,0.0,0.0,0.0,0.0
1796,Nickel,KOR,4,0.0,0.0,0.0,0.0,0.0,0.0
1797,Nickel,KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
1798,Nickel,KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
1799,Nickel,KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
1800,Nickel,KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
1801,Nickel,KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
1802,Nickel,KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
1803,Nickel,KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
1804,Nickel,KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
1805,Nickel,KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
1806,Nickel,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
1807,Nickel,ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
1808,Nickel,ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
1809,Nickel,ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
1810,Nickel,ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
1811,Nickel,ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
1812,Nickel,ROE,6,0.0,0.0,0.0,0.0,0.0,0.0
1813,Nickel,ROE,7,0.0,0.0,0.0,0.0,0.0,0.0
1814,Nickel,ROE,8,0.0,0.0,0.0,0.0,0.0,0.0
1815,Nickel,ROE,9,0.0,0.0,0.0,0.0,0.0,0.0
1816,Nickel,ROE,10,0.0,0.0,0.0,0.0,0.0,0.0
1817,Nickel,ROE,11,0.0,0.0,0.0,0.0,0.0,0.0
