,technology,capacity_type,location,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
6607,Compressor_transport,power,DEU-ROE,13,0.0,0.0,0.0,0.0,0.0,0.0
6608,Compressor_transport,power,DEU-ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
6609,Compressor_transport,power,DEU-ROW,1,0.0,0.0,0.0,0.0,0.0,0.0
6610,Compressor_transport,power,DEU-ROW,2,0.0,0.0,0.0,0.0,0.0,0.0
6611,Compressor_transport,power,DEU-ROW,3,0.0,0.0,0.0,0.0,0.0,0.0
6612,Compressor_transport,power,DEU-ROW,4,0.0,0.0,0.0,0.0,0.0,0.0
6613,Compressor_transport,power,DEU-ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
6614,Compressor_transport,power,DEU-ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
6615,Compressor_transport,power,DEU-ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
6616,Compressor_transport,power,DEU-ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
6617,Compressor_transport,power,DEU-ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
6618,Compressor_transport,power,DEU-ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
6619,Compressor_transport,power,DEU-ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
6620,Compressor_transport,power,DEU-ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
6621,Compressor_transport,power,DEU-ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
6622,Compressor_transport,power,DEU-USA,0,0.0,0.0,0.0,0.0,0.0,0.0
6623,Compressor_transport,power,DEU-USA,1,0.0,0.0,0.0,0.0,0.0,0.0
6624,Compressor_transport,power,DEU-USA,2,0.0,0.0,0.0,0.0,0.0,0.0
6625,Compressor_transport,power,DEU-USA,3,0.0,0.0,0.0,0.0,0.0,0.0
6626,Compressor_transport,power,DEU-USA,4,0.0,0.0,0.0,0.0,0.0,0.0
6627,Compressor_transport,power,DEU-USA,5,0.0,0.0,0.0,0.0,0.0,0.0
6628,Compressor_transport,power,DEU-USA,6,0.0,0.0,0.0,0.0,0.0,0.0
6629,Compressor_transport,power,DEU-USA,7,0.0,0.0,0.0,0.0,0.0,0.0
6630,Compressor_transport,power,DEU-USA,8,0.0,0.0,0.0,0.0,0.0,0.0
6631,Compressor_transport,power,DEU-USA,9,0.0,0.0,0.0,0.0,0.0,0.0
6632,Compressor_transport,power,DEU-USA,10,0.0,0.0,0.0,0.0,0.0,0.0
6633,Compressor_transport,power,DEU-USA,11,0.0,0.0,0.0,0.0,0.0,0.0
6634,Compressor_transport,power,DEU-USA,12,0.0,0.0,0.0,0.0,0.0,0.0
6635,Compressor_transport,power,DEU-USA,13,0.0,0.0,0.0,0.0,0.0,0.0
6636,Compressor_transport,power,ITA-AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
6637,Compressor_transport,power,ITA-AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
6638,Compressor_transport,power,ITA-AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
6639,Compressor_transport,power,ITA-AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
6640,Compressor_transport,power,ITA-AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
6641,Compressor_transport,power,ITA-AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
6642,Compressor_transport,power,ITA-AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
6643,Compressor_transport,power,ITA-AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
6644,Compressor_transport,power,ITA-AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
6645,Compressor_transport,power,ITA-AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
6646,Compressor_transport,power,ITA-AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
6647,Compressor_transport,power,ITA-AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
6648,Compressor_transport,power,ITA-AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
6649,Compressor_transport,power,ITA-AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
6650,Compressor_transport,power,ITA-AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
6651,Compressor_transport,power,ITA-AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
6652,Compressor_transport,power,ITA-AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
6653,Compressor_transport,power,ITA-AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
6654,Compressor_transport,power,ITA-AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
6655,Compressor_transport,power,ITA-AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
6656,Compressor_transport,power,ITA-AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
6657,Compressor_transport,power,ITA-AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
6658,Compressor_transport,power,ITA-AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
6659,Compressor_transport,power,ITA-AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
6660,Compressor_transport,power,ITA-AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
6661,Compressor_transport,power,ITA-AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
6662,Compressor_transport,power,ITA-AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
6663,Compressor_transport,power,ITA-AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
6664,Compressor_transport,power,ITA-BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
6665,Compressor_transport,power,ITA-BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
6666,Compressor_transport,power,ITA-BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
6667,Compressor_transport,power,ITA-BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
6668,Compressor_transport,power,ITA-BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
6669,Compressor_transport,power,ITA-BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
6670,Compressor_transport,power,ITA-BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
6671,Compressor_transport,power,ITA-BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
6672,Compressor_transport,power,ITA-BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
6673,Compressor_transport,power,ITA-BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
6674,Compressor_transport,power,ITA-BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
6675,Compressor_transport,power,ITA-BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
6676,Compressor_transport,power,ITA-BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
