,technology,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
11494,HEX_transport,AUT-JPN,0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11495,HEX_transport,AUT-JPN,1,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11496,HEX_transport,AUT-JPN,2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11497,HEX_transport,AUT-JPN,3,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11498,HEX_transport,AUT-JPN,4,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11499,HEX_transport,AUT-JPN,5,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11500,HEX_transport,AUT-JPN,6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11501,HEX_transport,AUT-JPN,7,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11502,HEX_transport,AUT-JPN,8,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11503,HEX_transport,AUT-JPN,9,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11504,HEX_transport,AUT-JPN,10,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11505,HEX_transport,AUT-JPN,11,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11506,HEX_transport,AUT-JPN,12,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11507,HEX_transport,AUT-JPN,13,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11508,HEX_transport,AUT-KOR,0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11509,HEX_transport,AUT-KOR,1,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11510,HEX_transport,AUT-KOR,2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11511,HEX_transport,AUT-KOR,3,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11512,HEX_transport,AUT-KOR,4,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11513,HEX_transport,AUT-KOR,5,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11514,HEX_transport,AUT-KOR,6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11515,HEX_transport,AUT-KOR,7,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11516,HEX_transport,AUT-KOR,8,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11517,HEX_transport,AUT-KOR,9,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11518,HEX_transport,AUT-KOR,10,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11519,HEX_transport,AUT-KOR,11,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11520,HEX_transport,AUT-KOR,12,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11521,HEX_transport,AUT-KOR,13,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11522,HEX_transport,AUT-ROE,0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
